Episode 10	Average Score: 0.00
Episode 20	Average Score: 0.10
Episode 30	Average Score: 0.73
Episode 40	Average Score: 1.38
Episode 50	Average Score: 2.32
Episode 60	Average Score: 3.02
Episode 70	Average Score: 3.59
Episode 80	Average Score: 4.11
Episode 90	Average Score: 4.62
Episode 100	Average Score: 4.73
Episode 110	Average Score: 5.51
Episode 120	Average Score: 6.47
Episode 130	Average Score: 7.22
Episode 140	Average Score: 7.79
Episode 150	Average Score: 8.48
Episode 160	Average Score: 9.12
Episode 170	Average Score: 9.67
Episode 180	Average Score: 9.99
Episode 190	Average Score: 10.39
Episode 200	Average Score: 11.16
Episode 210	Average Score: 11.88
Episode 220	Average Score: 12.18
Episode 230	Average Score: 12.63
Episode 240	Average Score: 12.86
Episode 250	Average Score: 12.65
Episode 260	Average Score: 12.67
Episode 270	Average Score: 12.86
Episode 280	Average Score: 13.03
Episode 290	Average Score: 12.96
Episode 300	Average Score: 12.89
Episode 310	Average Score: 12.76
Episode 320	Average Score: 13.06
Episode 330	Average Score: 13.27
Episode 340	Average Score: 13.55
Episode 350	Average Score: 13.88
Episode 360	Average Score: 14.07
Episode 370	Average Score: 14.23
Episode 380	Average Score: 14.33
Episode 390	Average Score: 14.60
Episode 400	Average Score: 14.94
Episode 410	Average Score: 15.02
Episode 420	Average Score: 15.13
Episode 430	Average Score: 15.28
Episode 440	Average Score: 15.63
Episode 450	Average Score: 15.39
Episode 460	Average Score: 15.28
Episode 470	Average Score: 15.48
Episode 480	Average Score: 15.49
Episode 490	Average Score: 15.60
Episode 500	Average Score: 15.73
Episode 510	Average Score: 15.96
Episode 520	Average Score: 15.87
Episode 530	Average Score: 15.73
Episode 540	Average Score: 15.58
Episode 550	Average Score: 16.13
Episode 560	Average Score: 16.32
Episode 570	Average Score: 16.27
Episode 580	Average Score: 16.64
Episode 590	Average Score: 16.61
Episode 600	Average Score: 16.41
Episode 610	Average Score: 16.41
Episode 620	Average Score: 16.42
Episode 630	Average Score: 16.34
Episode 640	Average Score: 16.48
Episode 650	Average Score: 16.40
Episode 660	Average Score: 16.17
Episode 670	Average Score: 15.78
Episode 680	Average Score: 15.50
Episode 690	Average Score: 15.44
Episode 700	Average Score: 15.56
Episode 710	Average Score: 15.44
Episode 720	Average Score: 15.28
Episode 730	Average Score: 15.21
Episode 740	Average Score: 15.17
Episode 750	Average Score: 15.30
Episode 760	Average Score: 15.75
Episode 770	Average Score: 16.04
Episode 780	Average Score: 16.12
Episode 790	Average Score: 16.12
Episode 800	Average Score: 16.02
Episode 810	Average Score: 15.90
Episode 820	Average Score: 15.92
Episode 830	Average Score: 16.19
Episode 840	Average Score: 16.09
Episode 850	Average Score: 16.05
Episode 860	Average Score: 15.75
Episode 870	Average Score: 15.79
Episode 880	Average Score: 16.00
Episode 890	Average Score: 15.90
Episode 900	Average Score: 15.98
Episode 910	Average Score: 16.22
Episode 920	Average Score: 16.37
Episode 930	Average Score: 16.13
Episode 940	Average Score: 15.93
Episode 950	Average Score: 15.68
Episode 960	Average Score: 15.77
Episode 970	Average Score: 15.66
Episode 980	Average Score: 15.60
Episode 990	Average Score: 15.84
Episode 1000	Average Score: 15.86
Episode 1001	Average Score: 15.85
