Episode 10	Average Score: 0.00
Episode 20	Average Score: -0.10
Episode 30	Average Score: -0.03
Episode 40	Average Score: 0.33
Episode 50	Average Score: 0.50
Episode 60	Average Score: 0.60
Episode 70	Average Score: 0.64
Episode 80	Average Score: 0.72
Episode 90	Average Score: 0.91
Episode 100	Average Score: 1.02
Episode 110	Average Score: 1.21
Episode 120	Average Score: 1.56
Episode 130	Average Score: 1.87
Episode 140	Average Score: 1.98
Episode 150	Average Score: 2.33
Episode 160	Average Score: 2.68
Episode 170	Average Score: 3.08
Episode 180	Average Score: 3.49
Episode 190	Average Score: 3.75
Episode 200	Average Score: 4.16
Episode 210	Average Score: 4.55
Episode 220	Average Score: 4.81
Episode 230	Average Score: 5.22
Episode 240	Average Score: 5.71
Episode 250	Average Score: 5.91
Episode 260	Average Score: 6.25
Episode 270	Average Score: 6.47
Episode 280	Average Score: 6.82
Episode 290	Average Score: 7.04
Episode 300	Average Score: 7.32
Episode 310	Average Score: 7.73
Episode 320	Average Score: 8.00
Episode 330	Average Score: 8.24
Episode 340	Average Score: 8.66
Episode 350	Average Score: 9.12
Episode 360	Average Score: 9.40
Episode 370	Average Score: 9.85
Episode 380	Average Score: 9.89
Episode 390	Average Score: 10.54
Episode 400	Average Score: 10.97
Episode 410	Average Score: 11.19
Episode 420	Average Score: 11.51
Episode 430	Average Score: 11.84
Episode 440	Average Score: 11.85
Episode 450	Average Score: 12.03
Episode 460	Average Score: 12.35
Episode 470	Average Score: 12.40
Episode 480	Average Score: 12.66
Episode 490	Average Score: 12.57
Episode 500	Average Score: 12.55
Episode 510	Average Score: 12.65
Episode 520	Average Score: 12.72
Episode 530	Average Score: 12.60
Episode 540	Average Score: 12.65
Episode 550	Average Score: 12.58
Episode 560	Average Score: 12.52
Episode 570	Average Score: 12.70
Episode 580	Average Score: 13.05
Episode 590	Average Score: 13.15
Episode 600	Average Score: 13.31
Episode 610	Average Score: 13.51
Episode 620	Average Score: 13.61
Episode 630	Average Score: 13.78
Episode 640	Average Score: 14.03
Episode 650	Average Score: 14.41
Episode 660	Average Score: 14.52
Episode 670	Average Score: 14.48
Episode 680	Average Score: 14.40
Episode 690	Average Score: 14.51
Episode 700	Average Score: 14.63
Episode 710	Average Score: 14.73
Episode 720	Average Score: 14.80
Episode 730	Average Score: 15.01
Episode 740	Average Score: 14.99
Episode 750	Average Score: 14.65
Episode 760	Average Score: 14.63
Episode 770	Average Score: 14.94
Episode 780	Average Score: 14.93
Episode 790	Average Score: 15.13
Episode 800	Average Score: 15.22
Episode 810	Average Score: 15.22
Episode 820	Average Score: 15.18
Episode 830	Average Score: 15.15
Episode 840	Average Score: 15.16
Episode 850	Average Score: 15.37
Episode 860	Average Score: 15.39
Episode 870	Average Score: 15.36
Episode 880	Average Score: 15.52
Episode 890	Average Score: 15.27
Episode 900	Average Score: 15.41
Episode 910	Average Score: 15.57
Episode 920	Average Score: 15.74
Episode 930	Average Score: 15.97
Episode 940	Average Score: 15.93
Episode 950	Average Score: 16.15
Episode 960	Average Score: 16.36
Episode 970	Average Score: 16.51
Episode 980	Average Score: 16.33
Episode 990	Average Score: 16.41
Episode 1000	Average Score: 16.15
Episode 1001	Average Score: 16.12
